px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.15891	-6.45335	0	0	0	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.08628	-6.51855	2.50771	-0.678464	0	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0
8.25411	-6.74791	0	0	0	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.25648	-6.78122	2.70793	-0.687607	0	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0
8.44494	-6.95805	0	0	0	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.39359	-7.01743	2.56416	-0.696337	0	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0
8.54925	-7.24433	0	0	0	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.64403	-7.39047	3.44956	-0.707378	0	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	0
8.73559	-7.5421	0	0	0	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.87176	-7.71912	2.04742	-0.716035	0	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	0
8.84538	-7.75497	0	0	0	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
8.88333	-7.88636	2.80161	-0.726017	0	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0
8.95966	-8.0381	0	0	0	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
8.8564	-8.01424	1.86678	-0.735521	0	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	0
9.05896	-8.24314	0	0	0	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.17781	-8.47056	2.79706	-0.745345	0	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0
9.15332	-8.54857	0	0	0	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.22922	-8.6898	1.92258	-0.755304	0	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	0
9.24541	-8.76863	0	0	0	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.37748	-9.00609	4.2891	-0.765199	0	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	0
9.44703	-9.15328	0	0	0	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.50096	-9.25642	2.209	-0.772362	0	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	0
9.54157	-9.35195	0	0	0	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.47534	-9.42627	2.24797	-0.782802	0	9.47534	-9.42627	9.55	-9.5	0	-3.00023	0
9.54779	-9.64959	0	0	0	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.69942	-9.88416	2.85181	-0.794831	0	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0
9.64606	-9.9341	0	0	0	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.60087	-9.96395	1.95724	-0.803954	0	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	0
9.73801	-10.1396	0	0	0	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
9.92627	-10.4745	2.35389	-0.812263	0	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0
9.75524	-10.4732	0	0	0	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
9.71825	-10.5087	2.63112	-0.824455	0	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0
9.85048	-10.7526	0	0	0	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
9.88465	-10.9383	1.92166	-0.835956	0	9.88465	-10.9383	9.85	-10.9	0	-2.73074	0
9.83614	-11.041	0	0	0	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
9.83952	-11.1692	2.27417	-0.848604	0	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0
9.84568	-11.3496	0	0	0	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
9.87961	-11.5637	2.26264	-0.863774	0	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0
9.83206	-11.6307	0	0	0	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
9.85311	-11.8523	0.866545	-0.877244	0	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	0
9.74928	-11.8442	0	0	0	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.69694	-11.9706	1.77828	-0.88995	0	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0
9.65354	-12.1497	0	0	0	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.72311	-12.3964	1.01994	-0.905673	0	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	0
9.54859	-12.3478	0	0	0	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.39039	-12.3902	0.369379	-0.922266	0	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	0
9.36086	-12.5501	0	0	0	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.34456	-12.7106	0.912459	-0.936847	0	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0
9.22134	-12.7613	0	0	0	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.15326	-13.0031	0.700602	2.18415	0	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	0
8.84161	-12.9519	0	0	0	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.71632	-12.9613	0.291637	2.16282	0	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0
8.66358	-13.0431	0	0	0	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.54518	-13.1702	0.795374	2.14635	0	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0
8.35763	-13.1557	0	0	0	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.22926	-13.1698	1.48799	2.12929	0	8.22926	-13.1698	8.2	-13.15	-2.72741	0	0
8.03583	-13.1513	0	0	0	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.82914	-13.0525	1.3479	2.11108	0	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0
7.76538	-13.1647	0	0	0	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.66146	-13.3079	0.489357	2.09316	0	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	0
7.44786	-13.2517	0	0	0	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
